ITERACAO,TEMPO (s),DESLOCAMENTO (m)
406000,6.977659813730757,-.5381559102411352E-01
407000,6.994846167951768,-.5381474918304672E-01
408000,7.012032522172780,-.5381293986384517E-01
409000,7.029218876393792,-.5381031482707547E-01
410000,7.046405230614804,-.5380707223515559E-01
411000,7.063591584835815,-.5380344224297977E-01
412000,7.080777939056826,-.5379967109630306E-01
413000,7.097964293277839,-.5379600479950641E-01
414000,7.115150647498850,-.5379267340088902E-01
415000,7.132337001719862,-.5378987690314915E-01
416000,7.149523355940874,-.5378777361556836E-01
417000,7.166709710161886,-.5378647160723300E-01
418000,7.183896064382897,-.5378602369245771E-01
419000,7.201082418603908,-.5378642616894335E-01
420000,7.218268772824921,-.5378762117471263E-01
421000,7.235455127045932,-.5378950244082920E-01
422000,7.252641481266944,-.5379192391608696E-01
423000,7.269827835487956,-.5379471060610195E-01
424000,7.287014189708968,-.5379767083024314E-01
425000,7.304200543929979,-.5380060910897209E-01
426000,7.321386898150990,-.5380333879848844E-01
427000,7.338573252372003,-.5380569367904885E-01
428000,7.355759606593014,-.5380753778289089E-01
429000,7.372945960814026,-.5380877293615564E-01
430000,7.390132315035038,-.5380934358423890E-01
431000,7.407318669256050,-.5380923871215975E-01
432000,7.424505023477061,-.5380849083795831E-01
433000,7.441691377698072,-.5380717229231185E-01
434000,7.458877731919085,-.5380538907216510E-01
435000,7.476064086140096,-.5380327277600051E-01
436000,7.493250440361108,-.5380097122392219E-01
437000,7.510436794582120,-.5379863839614788E-01
438000,7.527623148803132,-.5379642436029030E-01
439000,7.544809503024143,-.5379446583359136E-01
440000,7.561995857245154,-.5379287797297723E-01
441000,7.579182211466167,-.5379174783745694E-01
442000,7.596368565687178,-.5379112991610569E-01
443000,7.613554919908190,-.5379104388937726E-01
444000,7.630741274129202,-.5379147471990047E-01
445000,7.647927628350214,-.5379237494968250E-01
446000,7.665113982571225,-.5379366896618647E-01
447000,7.682300336792236,-.5379525891588791E-01
448000,7.699486691013249,-.5379703182680703E-01
449000,7.716673045234260,-.5379886739771821E-01
450000,7.733859399455272,-.5380064597242781E-01
451000,7.751045753676284,-.5380225616213040E-01
452000,7.768232107897296,-.5380360164389075E-01
453000,7.785418462118307,-.5380460673670374E-01
454000,7.802604816339318,-.5380522044431365E-01
455000,7.819791170560331,-.5380541876658720E-01
456000,7.836977524781342,-.5380520517736674E-01
457000,7.854163879002354,-.5380460935197214E-01
458000,7.871350233223366,-.5380368425259151E-01
459000,7.888536587444378,-.5380250183953492E-01
460000,7.905722941665389,-.5380114774822704E-01
461000,7.922909295886400,-.5379971526326893E-01
462000,7.940095650107413,-.5379829905789494E-01
463000,7.957282004328424,-.5379698908222310E-01
464000,7.974468358549436,-.5379586499489672E-01
465000,7.991654712770448,-.5379499145928125E-01
